"GAP인증번호","인증기관","개인/단체 구분명","유효기간 시작일","유효기간 종료일","품목","주소","등록 농가수","등록 필지수","재배면적","생산계획량","지정일자"
"1021943","(사)한솔농림수산식품인증센터","개인","2023-06-19","2025-06-18","감귤","제주특별자치도 서귀포시","1","4","10460.0","34.0","2023-06-19"
"1021942","(주)농산물품질인증평가원","단체","2023-06-19","2025-06-18","포도","경상북도 김천시","4","8","19337.0","94.0","2023-06-19"
"1021941","주식회사 농식품인증관리원","개인","2023-06-19","2025-06-18","표고버섯","경기도 고양시 일산서구","1","1","400.0","15.0","2023-06-19"
"1021939","충북대학교 산학협력단","개인","2023-06-16","2025-06-15","복숭아","충청북도 음성군","1","1","3477.0","5.0","2023-06-16"
"1021938","(사)한솔농림수산식품인증센터","개인","2023-06-16","2025-06-15","레드향","제주특별자치도 서귀포시","1","1","3300.0","10.0","2023-06-16"
"1021937","친환경농업연구원 주식회사","개인","2023-06-16","2025-06-15","샤인마스캇","충청남도 서산시","1","4","8996.0","12.21","2023-06-16"
"1021936","친환경농업연구원 주식회사","개인","2023-06-16","2025-06-15","샤인마스캇","충청남도 서산시","1","1","1992.0","4.03","2023-06-16"
"1021935","친환경농업연구원 주식회사","개인","2023-06-16","2025-06-15","샤인마스캇","충청남도 서산시","1","3","2910.0","5.08","2023-06-16"
"1021934","(사)한솔농림수산식품인증센터","개인","2023-06-16","2025-06-15","감귤","제주특별자치도 제주시","1","2","5328.0","6.0","2023-06-16"
"1021933","(사)한솔농림수산식품인증센터","개인","2023-06-16","2025-06-15","감귤","제주특별자치도 서귀포시","1","3","40954.0","17.6","2023-06-16"
"1021931","(주)에스에이피분석평가연구소","개인","2023-06-16","2025-06-15","포도","충청북도 옥천군","1","1","2760.0","3.7","2023-06-16"
"1021930","플럼코트맘 주식회사","개인","2023-06-16","2025-06-15","여주","전라남도 곡성군","1","2","1531.0","1.85","2023-06-16"
"1021929","플럼코트맘 주식회사","개인","2023-06-16","2025-06-15","수경상추","전라남도 곡성군","1","2","11000.0","300.0","2023-06-16"
