GAP인증번호,인증기관,개인/단체 구분명,유효기간 시작일,유효기간 종료일,품목,주소,등록 농가수,등록 필지수,재배면적,생산계획량,지정일자
1019688,강원대학교 산학협력단,개인,2022-06-15,2024-06-14,곤드레나물,강원도 정선군,1,1,2000,1,2022-06-15
1019686,주식회사 성농,개인,2022-06-15,2024-06-14,머위,전라북도 순창군,1,1,1500,2,2022-06-15
1019685,주식회사 성농,개인,2022-06-15,2024-06-14,쌈채류(기타),전라북도 순창군,1,4,4106,40,2022-06-15
1019684,주식회사 성농,개인,2022-06-15,2024-06-14,쌈채류(기타),전라북도 순창군,1,1,1650,10,2022-06-15
1019682,주식회사 성농,개인,2022-06-15,2024-06-14,쌈채류(기타),전라북도 순창군,1,6,1250,20,2022-06-15
1019678,(재)금산인삼약초산업진흥원,단체,2022-06-15,2024-06-14,포도,충청남도 금산군,8,24,42650,71.65,2022-06-15
1019677,(재)금산인삼약초산업진흥원,단체,2022-06-15,2024-06-14,포도,충청남도 금산군,9,34,56790,95.38,2022-06-15
1019675,농협경제지주(주)식품R&D연구소,개인,2022-06-14,2024-06-13,상추,경기도 양주시,1,6,7560,5.07,2022-06-14
1019674,농협경제지주(주)식품R&D연구소,단체,2022-06-14,2024-06-13,사과,경상북도 안동시,111,338,1063867.5,1960.70832,2022-06-14
1019673,(사)한솔농림수산식품인증센터,개인,2022-06-14,2024-06-13,단호박,제주특별자치도 서귀포시,1,14,41250,57.6,2022-06-14
1019672,(주)티에스피인증관리원,단체,2022-06-14,2024-06-13,양파,충청남도 공주시,20,60,87650,133.7,2022-06-14
1019671,(사)한솔농림수산식품인증센터,개인,2022-06-14,2024-06-13,단호박,제주특별자치도 서귀포시,1,10,22506,45.5,2022-06-14
1019670,농업회사법인 주식회사 농품,개인,2022-06-13,2025-06-12,수삼,경기도 이천시,1,2,2245,2.22,2022-06-13
1019668,주식회사 농식품인증관리원,개인,2022-06-14,2024-06-13,토마토,경기도 광주시,1,2,1955,12.5,2022-06-14
1019667,주식회사 농식품인증관리원,개인,2022-06-14,2024-06-13,블루베리,충청남도 당진시,1,3,5375,7,2022-06-14
1019666,주식회사 농식품인증관리원,개인,2022-06-14,2024-06-13,포도,전라남도 강진군,1,2,5093,8.66,2022-06-14
1019665,주식회사 농식품인증관리원,개인,2022-06-14,2024-06-13,목이버섯,경기도 고양시 일산서구,1,1,1420,5,2022-06-14
1019664,㈜비씨에스코리아,개인,2022-06-14,2024-06-13,표고버섯,충청남도 홍성군,1,1,600,0.4,2022-06-14
1019663,아이센(주),단체,2022-06-14,2024-06-13,배,경상북도 영덕군,22,68,150084,309.34,2022-06-14
1019662,주식회사 푸름인증원,단체,2022-06-13,2024-06-12,깻잎,경상남도 밀양시,4,10,16018,32,2022-06-13
1019659,주식회사 푸름인증원,단체,2022-06-13,2024-06-12,깻잎,경상남도 밀양시,4,10,16018,32,2022-06-13
1019658,(주)우리농인증원,단체,2022-06-13,2024-06-12,양파,경상남도 함양군,41,384,704372,5117.4,2022-06-13
1019657,(주)우리농인증원,개인,2022-06-13,2024-06-12,파프리카,경상남도 고성군,1,1,2555,34,2022-06-13
1019656,(주)미래친환경농업인증센터,단체,2022-06-11,2024-06-10,블루베리,전라남도 장흥군,6,25,37258,24.92,2022-06-11
1019655,주식회사 유기식품평가원,개인,2022-06-10,2024-06-09,새싹삼,충청북도 영동군,1,4,500,1.5,2022-06-10
1019654,농업법인플럼코트맘(주),개인,2022-06-12,2024-06-11,토마토,전라남도 나주시,1,2,5300,24.03,2022-06-12
1019653,농업법인플럼코트맘(주),개인,2022-06-12,2024-06-11,배,전라남도 나주시,1,2,4973,10.94,2022-06-12
1019652,농업법인플럼코트맘(주),개인,2022-06-12,2024-06-11,토마토,전라남도 나주시,1,6,7818,34.1,2022-06-12
1019651,(주)미래친환경농업인증센터,개인,2022-06-10,2024-06-09,감자,전라남도 해남군,1,68,129180,183.84,2022-06-10
1019650,(주)한국유기농인증원,개인,2022-06-10,2024-06-09,오이,경기도 안산시 상록구,1,4,4380,29.45,2022-06-10
1019649,주식회사 농식품인증관리원,개인,2022-06-10,2024-06-09,하수오,경기도 안산시 단원구,1,1,1250,1.6,2022-06-10
1019648,친환경농업연구원 주식회사,단체,2022-06-10,2024-06-09,포도,인천광역시 옹진군,7,27,29227,39.87,2022-06-10
1019647,토지글로닉스 주식회사,개인,2022-06-10,2024-06-09,매실,전라남도 광양시,1,3,4106,1.3,2022-06-10
1019646,(주)자연들농식품인증원,개인,2022-06-10,2024-06-09,포도,전라북도 완주군,1,3,3131,4.95,2022-06-10
1019645,(주)자연들농식품인증원,개인,2022-06-09,2024-06-08,블루베리,전라북도 익산시,1,2,389,0.26,2022-06-09
1019644,농협경제지주(주)식품R&D연구소,개인,2022-06-09,2024-06-08,파프리카,경기도 고양시 일산동구,1,3,19286,360,2022-06-09
1019643,주식회사 농식품인증관리원,개인,2022-06-09,2024-06-08,양배추,충청남도 당진시,1,2,3538,19.8,2022-06-09
1019642,주식회사 농식품인증관리원,개인,2022-06-09,2024-06-08,양배추,충청남도 당진시,1,3,3543.2,13.6,2022-06-09
1019641,주식회사 농식품인증관리원,개인,2022-06-09,2024-06-08,양배추,충청남도 당진시,1,19,32110,151.7,2022-06-09
1019640,주식회사 농식품인증관리원,개인,2022-06-09,2024-06-08,감자,충청남도 당진시,1,3,2505,8,2022-06-09
1019639,주식회사 농식품인증관리원,개인,2022-06-09,2024-06-08,감자,충청남도 당진시,1,3,4900,12.6,2022-06-09
1019638,주식회사 농식품인증관리원,개인,2022-06-09,2024-06-08,감자,충청남도 당진시,1,15,14138,45.1,2022-06-09
1019637,주식회사 농식품인증관리원,개인,2022-06-09,2024-06-08,포도,경기도 성남시 분당구,1,1,7120,8,2022-06-09
1019636,주식회사 농식품인증관리원,개인,2022-06-09,2024-06-08,쌈배추,경상남도 밀양시,1,3,5780,22.5,2022-06-09
1019635,주식회사 농식품인증관리원,개인,2022-06-09,2024-06-08,깻잎,경상남도 밀양시,1,2,7769,19.9,2022-06-09
1019634,주식회사 농식품인증관리원,개인,2022-06-09,2024-06-08,양상추(미니로메인),경상북도 청도군,1,20,764,13.8,2022-06-09
1019633,주식회사 농식품인증관리원,개인,2022-06-09,2024-06-08,오미자,경기도 연천군,1,3,1353,2.9,2022-06-09
1019632,주식회사 푸름인증원,개인,2022-06-08,2024-06-07,상추,경기도 남양주시,1,380,1094480,2188,2022-06-08
1019631,주식회사 금강인증센터,개인,2022-06-08,2024-06-07,자두,충청남도 공주시,1,30,28203,19.94,2022-06-08
